CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
ENFERMAGEM,10,610-640,ENEM/VESTIBULAR,BACHARELADO,150-180,"ASSISTÊNCIA HOSPITALAR, SAÚDE PÚBLICA, GESTÃO","3.300,00-4.750,00",30-50,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Cuidado integral ao paciente, desde a prevenção até o tratamento e gestão de equipes de saúde.",Enfermagem | Processo Seletivo,Saúde
ENGENHARIA CIVIL,10,590-620,ENEM/VESTIBULAR,BACHARELADO,100-120,"CONSTRUÇÃO CIVIL, ESTRADAS, SANEAMENTO, ESTRUTURAS","4.500,00-8.000,00",20-35,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Projeto e execução de infraestruturas, como prédios e estradas, com foco em segurança e materiais.",Engenharia Civil | Processo Seletivo,Exatas & Engenharias
FARMÁCIA,10,600-630,ENEM/VESTIBULAR,BACHARELADO,100-120,"INDÚSTRIA, ANÁLISES CLÍNICAS, FARMÁCIA HOSPITALAR","3.500,00-5.000,00",20-30,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Estudo dos fármacos, análises clínicas, produção de medicamentos e assistência farmacêutica.",Farmácia | Processo Seletivo,Saúde
FISIOTERAPIA,10,610-640,ENEM/VESTIBULAR,BACHARELADO,120-150,"REABILITAÇÃO MOTORA, ESPORTIVA, UTI","2.800,00-4.500,00",25-40,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Prevenção e tratamento de distúrbios do movimento humano por meio de terapias físicas.",Fisioterapia | Processo Seletivo,Saúde
FONOAUDIOLOGIA,8,600-635,ENEM/VESTIBULAR,BACHARELADO,80-100,"TERAPIA DE FALA, ESTÉTICA, DISFAGIA","2.500,00-4.800,00",10-20,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Cuidado com a comunicação humana, abrangendo fala, audição, voz e deglutição.",Fonoaudiologia | Processo Seletivo,Saúde
GASTRONOMIA,4,570-600,ENEM/VESTIBULAR,TECNÓLOGO,60-80,"CHEFIA DE COZINHA, CONSULTORIA, GESTÃO DE RESTAURANTES","2.000,00-4.500,00",15-25,JUAZEIRO DO NORTE,SEMIPRESENCIAL,MATUTINO/NOTURNO,"Arte culinária aliada à gestão de cozinhas, segurança alimentar e cultura gastronômica.",Superior de Tecnologia em Gastronomia | Processo Seletivo,Humanas & Educação
GESTÃO COMERCIAL,4,450-520,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"VENDAS, SUPERVISÃO DE EQUIPES, PROSPECÇÃO","2.500,00-5.500,00",20-40,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Foco em estratégias de vendas, relacionamento com clientes e aumento de lucratividade.",Superior de Tecnologia em Gestão Comercial | Processo Seletivo,Negócios & Gestão
GESTÃO DA QUALIDADE,4,450-510,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"PADRONIZAÇÃO ISO, CONTROLE DE PRODUÇÃO, AUDITORIA","3.000,00-5.500,00",10-20,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Otimização de processos para garantir que produtos e serviços atendam a normas e padrões.",Superior de Tecnologia em Gestão da Qualidade | Processo Seletivo,Negócios & Gestão
GESTÃO DA TECNOLOGIA DA INFORMAÇÃO,5,540-570,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"GERENCIAMENTO DE PROJETOS, GOVERNANÇA DE DADOS","4.500,00-9.000,00",10-20,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Alinhamento da infraestrutura tecnológica aos objetivos estratégicos de uma empresa.",Superior de Tecnologia em Gestão da Tecnologia da Informação | Processo Seletivo,Tecnologia & TI
GESTÃO DE RECURSOS HUMANOS,4,480-540,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"RECRUTAMENTO, TREINAMENTO, BENEFÍCIOS","2.500,00-5.000,00",25-45,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Foco no capital humano: contratação, treinamento, motivação e retenção de talentos.",Superior de Tecnologia em Gestão de Recursos Humanos | Processo Seletivo,Negócios & Gestão
GESTÃO DE TRÂNSITO,4,450-500,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"ÓRGÃOS PÚBLICOS (DETRAN), PERÍCIA, LOGÍSTICA URBANA","2.800,00-5.000,00",10-25,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Planejamento de mobilidade, segurança viária e legislação voltada ao tráfego urbano.",Superior de Tecnologia em Gestão de Recursos Humanos | Processo Seletivo,Negócios & Gestão
GESTÃO FINANCEIRA,4,480-530,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"TESOURARIA, CRÉDITO, CONTAS A PAGAR/RECEBER","3.000,00-6.000,00",20-35,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Foco técnico em fluxo de caixa, investimentos, análise de crédito e riscos financeiros.",Superior de Tecnologia em Gestão Financeira | Processo Seletivo,Negócios & Gestão
GESTÃO PÚBLICA,4,500-550,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"ADMINISTRAÇÃO GOVERNAMENTAL, ONGS, POLÍTICAS PÚBLICAS","3.500,00-7.000,00",20-40,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Administração voltada ao setor governamental e projetos de interesse social e coletivo.",Superior de Tecnologia em Gestão Pública | Processo Seletivo,Negócios & Gestão
JOGOS DIGITAIS,5,550-580,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"DESIGN DE GAMES, PROGRAMAÇÃO VISUAL, VR/AR","3.500,00-8.000,00",10-20,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Criação de mundos virtuais, mecânicas de jogo, narrativa e programação de entretenimento.",Superior de Tecnologia em Jogos Digitais | Processo Seletivo,Tecnologia & TI
LOGÍSTICA,4,480-530,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"GESTÃO DE ESTOQUE, TRANSPORTE, SUPRIMENTOS","2.500,00-5.000,00",20-40,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Gestão inteligente de transporte, armazenamento e fluxo de mercadorias no mercado.",Superior de Tecnologia em Logística | Processo Seletivo,Negócios & Gestão
MARKETING,4,520-560,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"ESTRATÉGIAS DIGITAIS, BRANDING, PESQUISA, PUBLICIDADE","2.800,00-6.000,00",25-45,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Estudo do comportamento do consumidor para criar valor e comunicar marcas com eficiência.",Superior de Tecnologia em Marketing | Processo Seletivo,Negócios & Gestão
MEDICINA VETERINÁRIA,10,680-720,ENEM/VESTIBULAR,BACHARELADO,100-120,"CLÍNICA DE PETS, AGRONEGÓCIO, SAÚDE PÚBLICA","3.500,00-7.500,00",20-35,JUAZEIRO DO NORTE,PRESENCIAL,INTEGRAL/MATUTINO,"Cuidado com a saúde animal, clínica, cirurgia e inspeção de produtos de origem animal.",Medicina Veterinária | Processo Seletivo,Saúde
NEGÓCIOS IMOBILIÁRIOS,4,450-510,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"GESTÃO DE CONDOMÍNIOS, CORRETAGEM, AVALIAÇÃO","2.500,00-10.000,00",15-30,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Gestão de compra, venda e locação de imóveis, com foco em legislação e avaliação.",Superior de Tecnologia em Negócios Imobiliários | Processo Seletivo,Negócios & Gestão
NUTRIÇÃO,8,610-640,ENEM/VESTIBULAR,BACHARELADO,100-120,"CLÍNICA, ESPORTIVA, MERENDA, CONTROLE DE QUALIDADE","2.800,00-4.500,00",20-35,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Estudo da alimentação humana para promover a saúde e tratar doenças via dieta.",Nutrição | Processo Seletivo,Saúde
ODONTOLOGIA,10,670-710,ENEM/VESTIBULAR,BACHARELADO,240,"ESTÉTICA BUCAL, CIRURGIA, ORTODONTIA, SAÚDE COLETIVA","4.000,00-10.000,00",40-55,JUAZEIRO DO NORTE,PRESENCIAL,INTEGRAL/MATUTINO/TARDE,"Estudo e tratamento da saúde bucal, envolvendo estética, cirurgias e reabilitação.",Odontologia | Processo Seletivo,Saúde
PROCESSOS GERENCIAIS,4,460-520,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"ADMINISTRAÇÃO DE ESCRITÓRIO, FLUXOS DE TRABALHO","2.800,00-5.000,00",20-40,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Foco prático em organizar o dia a dia administrativo e melhorar a produtividade de equipes.",Superior de Tecnologia em Processos Gerenciais | Processo Seletivo,Negócios & Gestão
PRODUÇÃO AUDIOVISUAL,4,540-570,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"EDIÇÃO DE VÍDEO, RÁDIO, TV, REDES SOCIAIS","2.200,00-5.500,00",10-20,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Criação de conteúdo em vídeo e áudio, desde o roteiro até a edição final e distribuição.",Superior de Tecnologia em Produção Audiovisual | Processo Seletivo,Tecnologia & TI
PSICOLOGIA,10,630-670,ENEM/VESTIBULAR,BACHARELADO,120-150,"CLÍNICA, ORGANIZACIONAL, ESCOLAR, HOSPITALAR","2.800,00-6.000,00",30-50,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Estudo dos processos mentais e do comportamento humano para promoção da saúde mental.",Psicologia | Processo Seletivo,Saúde
PUBLICIDADE E PROPAGANDA,8,560-600,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"CAMPANHAS, REDAÇÃO, MÍDIAS SOCIAIS","2.500,00-5.500,00",15-30,JUAZEIRO DO NORTE,EAD,NOTURNO,"Criação de campanhas persuasivas para marcas em diferentes plataformas de mídia.",Publicidade e Propaganda | Processo Seletivo,Humanas & Educação
SEGURANÇA DA INFORMAÇÃO,5,550-590,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"COMBATE A CRIMES CIBERNÉTICOS, PROTEÇÃO DE REDES","5.000,00-11.000,00",15-30,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Proteção de sistemas contra ataques, vazamento de dados e vulnerabilidades digitais.",Superior de Tecnologia em Segurança da Informação | Processo Seletivo,Tecnologia & TI
SEGURANÇA PÚBLICA,4,470-530,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"GESTÃO PRISIONAL, GUARDA MUNICIPAL, SEGURANÇA COMUNITÁRIA","3.500,00-7.000,00",20-40,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Planejamento estratégico de combate à violência e gestão de crises sociais.",Superior de Tecnologia em Segurança Pública | Processo Seletivo,Humanas & Educação
SISTEMAS DE INFORMAÇÃO,8,570-610,ENEM/VESTIBULAR,BACHARELADO,80-100,"ARQUITETURA DE SISTEMAS, GESTÃO DE REDES","4.500,00-9.500,00",15-25,JUAZEIRO DO NORTE,SEMIPRESENCIAL,NOTURNO,"Gestão e desenvolvimento de sistemas computacionais para organizar informações de empresas.",Sistemas de Informação | Processo Seletivo,Tecnologia & TI
TEOLOGIA,5,500-550,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"TERAPIAS HOLÍSTICAS, BEM-ESTAR, CUIDADOS ALTERNATIVOS","2.200,00-5.000,00",20-40,JUAZEIRO DO NORTE,SEMIPRESENCIAL,NOTURNO,"Foco em práticas de cuidado e equilíbrio para melhoria da qualidade de vida e bem-estar.",Teologia | Processo Seletivo,Humanas & Educação
TERAPIA OCUPACIONAL,8,600-640,ENEM/VESTIBULAR,BACHARELADO,60-80,REABILITAÇÃO PSICOSSOCIAL,"3.000,00-5.500,00",10-20,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Reabilitação de pessoas com dificuldades de inserção social ou física em atividades diárias.",Terapia Ocupacional | Processo Seletivo,Saúde
